,Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm)
36562,Solomon Islands,SLB,Women,1896,148.4451309,143.7357378,153.2020456
36663,Somalia,SOM,Women,1896,151.76901840000005,145.31620769999995,158.2524678
36764,South Africa,ZAF,Women,1896,154.9090635,151.3292199,158.3338397
36865,South Korea,KOR,Women,1896,142.1743719,139.6726193,144.7276024
36966,Spain,ESP,Women,1896,151.1089341,148.629575,153.4766795
37067,Sri Lanka,LKA,Women,1896,145.2635061,140.7626981,149.6603852
37168,Sudan,SDN,Women,1896,151.7619622,145.4128477,158.2442755
37269,Suriname,SUR,Women,1896,150.4909375,144.14297630000004,156.90003180000005
37370,Swaziland,SWZ,Women,1896,152.8583059,147.4572792,158.19312480000005
37471,Sweden,SWE,Women,1896,160.2885432,158.2290639,162.3654084
37572,Switzerland,CHE,Women,1896,157.5345007,154.7922205,160.3318004
37673,Syrian Arab Republic,SYR,Women,1896,149.6099596,143.2953208,155.73189109999996
37774,Taiwan,TWN,Women,1896,149.38082859999997,146.837764,151.9176679
37875,Tajikistan,TJK,Women,1896,150.8864125,145.23989780000005,156.64739550000004
37976,Tanzania,TZA,Women,1896,150.9751483,146.233379,155.7997577
38077,Thailand,THA,Women,1896,148.18684430000005,145.761045,150.5614696
38178,Timor-Leste,TLS,Women,1896,144.84474780000005,140.2599211,149.57529499999995
38279,Togo,TGO,Women,1896,153.0149041,147.8856154,158.2502254
38380,Tokelau,TKL,Women,1896,155.3222767,150.5925816,159.8549059
38481,Tonga,TON,Women,1896,157.57121809999995,152.8675463,162.0583935
38582,Trinidad and Tobago,TTO,Women,1896,154.2157967,150.0897104,158.23597619999995
38683,Tunisia,TUN,Women,1896,150.8618968,147.4547335,154.24522230000005
38784,Turkey,TUR,Women,1896,149.5795307,146.6495497,152.4035385
38885,Turkmenistan,TKM,Women,1896,152.852485,147.2300201,158.38569109999997
38986,Tuvalu,TUV,Women,1896,156.58176519999995,153.2211635,159.85295019999995
39087,Uganda,UGA,Women,1896,153.59526340000005,148.470497,158.7820606
39188,Ukraine,UKR,Women,1896,153.952825,147.3702256,160.50174030000005
39289,United Arab Emirates,ARE,Women,1896,149.6070186,143.29342749999995,155.5753862
39390,United Kingdom,GBR,Women,1896,153.3825074,151.7900757,155.009889
39491,United States of America,USA,Women,1896,158.51492019999995,157.4016493,159.64375249999995
39592,Uruguay,URY,Women,1896,149.6076355,145.7459034,153.5285845
39693,Uzbekistan,UZB,Women,1896,150.87546640000005,145.3309093,156.4187936
39794,Vanuatu,VUT,Women,1896,152.71640119999995,148.1106951,157.4250621
39895,Venezuela,VEN,Women,1896,144.7354407,139.8358851,149.4481615
39996,Viet Nam,VNM,Women,1896,144.7806553,142.4563553,147.12536409999996
40097,Yemen,YEM,Women,1896,145.1015874,140.4012803,149.6514847
40198,Zambia,ZMB,Women,1896,151.5328368,146.929312,156.1177301
40299,Zimbabwe,ZWE,Women,1896,155.3015295,150.3283722,160.3487023
