,Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm)
10604,Macedonia (TFYR),MKD,Men,1996,178.330803,172.72867040000003,184.0148126
10705,Madagascar,MDG,Men,1996,161.5474932,157.8678111,165.14054309999997
10806,Malawi,MWI,Men,1996,162.2277323,159.58934399999995,164.7726449
10907,Malaysia,MYS,Men,1996,167.8849165,166.80538180000005,168.9509319
11008,Maldives,MDV,Men,1996,167.6836237,165.832023,169.4866196
11109,Mali,MLI,Men,1996,171.11946319999996,167.9478568,174.1885393
11210,Malta,MLT,Men,1996,173.3197324,168.863341,177.8368426
11311,Marshall Islands,MHL,Men,1996,162.80899159999996,160.07608190000005,165.5329815
11412,Mauritania,MRT,Men,1996,163.2810601,160.0639541,166.614473
11513,Mauritius,MUS,Men,1996,170.4992686,168.29080349999995,172.7745868
11614,Mexico,MEX,Men,1996,169.0114702,167.98952419999995,170.0444506
11715,Micronesia (Federated States of),FSM,Men,1996,168.510704,166.3522581,170.6592865
11816,Moldova,MDA,Men,1996,175.489202,173.48197119999998,177.5207805
11917,Mongolia,MNG,Men,1996,169.0656778,167.8287033,170.3504253
12018,Montenegro,MNE,Men,1996,178.2755341,172.52313030000005,183.94608380000003
12119,Morocco,MAR,Men,1996,170.4001635,164.605857,176.06862890000005
12220,Mozambique,MOZ,Men,1996,164.7975642,161.612074,168.0260359
12321,Myanmar,MMR,Men,1996,164.6726735,162.9398421,166.4475122
12422,Namibia,NAM,Men,1996,166.9643668,164.625411,169.2829633
12523,Nauru,NRU,Men,1996,167.8324823,165.7928666,169.8367582
12624,Nepal,NPL,Men,1996,162.31833319999996,160.97530469999995,163.67525700000004
12725,Netherlands,NLD,Men,1996,182.5353792,180.5898787,184.5434095
12826,New Zealand,NZL,Men,1996,177.7363938,176.7945123,178.6771639
12927,Nicaragua,NIC,Men,1996,166.70623909999995,162.83779199999995,170.59059340000005
13028,Niger,NER,Men,1996,167.67600349999995,165.12319119999995,170.15893630000005
13129,Nigeria,NGA,Men,1996,165.9067896,164.20355990000004,167.61992969999997
13230,Niue,NIU,Men,1996,175.8311176,173.78040769999996,177.9617831
13331,North Korea,PRK,Men,1996,171.9927751,165.7737604,178.39622580000002
13432,Norway,NOR,Men,1996,179.7451045,177.83923090000005,181.6195822
13533,Occupied Palestinian Territory,PSE,Men,1996,172.0872385,170.02774580000005,174.2055356
13634,Oman,OMN,Men,1996,169.1575236,166.9481805,171.33472880000005
13735,Pakistan,PAK,Men,1996,166.9481799,165.3443326,168.61096609999996
13836,Palau,PLW,Men,1996,167.692075,165.132506,170.3289132
13937,Panama,PAN,Men,1996,168.4895764,165.49201100000005,171.41215380000003
14038,Papua New Guinea,PNG,Men,1996,163.5678363,161.2012514,165.94015149999996
14139,Paraguay,PRY,Men,1996,172.83428700000005,166.7139769,179.0240843
14240,Peru,PER,Men,1996,165.2324719,163.777743,166.6610325
14341,Philippines,PHL,Men,1996,163.22915590000005,161.17532409999995,165.2535389
14442,Poland,POL,Men,1996,177.32698169999995,176.1592701,178.5387944
14543,Portugal,PRT,Men,1996,172.93288180000005,171.54295530000005,174.3305219
14644,Puerto Rico,PRI,Men,1996,172.0847257,167.5818233,176.571524
14745,Qatar,QAT,Men,1996,170.476481,168.8322632,172.08830369999995
14846,Romania,ROU,Men,1996,174.740883,172.28513180000004,177.2481003
14947,Russian Federation,RUS,Men,1996,176.4605305,174.9469982,177.9740738
15048,Rwanda,RWA,Men,1996,162.6789315,161.32141059999995,164.0283344
15149,Saint Kitts and Nevis,KNA,Men,1996,169.6233446,165.82662630000004,173.3673622
15250,Saint Lucia,LCA,Men,1996,171.94531640000002,169.27652030000004,174.6222627
15351,Saint Vincent and the Grenadines,VCT,Men,1996,172.7790021,166.8957393,178.34545780000005
15452,Samoa,WSM,Men,1996,174.3770605,172.7645392,176.0048961
15553,Sao Tome and Principe,STP,Men,1996,167.3845214,165.57513640000005,169.1477613
15654,Saudi Arabia,SAU,Men,1996,167.6703062,166.552861,168.7857624
15755,Senegal,SEN,Men,1996,173.1387425,171.2834349,175.04715330000005
15856,Serbia,SRB,Men,1996,180.5674062,179.357668,181.7290021
15957,Seychelles,SYC,Men,1996,174.21552749999995,172.27598989999996,176.1880041
16058,Sierra Leone,SLE,Men,1996,164.4056705,162.9596984,165.8557571
16159,Singapore,SGP,Men,1996,172.56604219999997,170.7545791,174.3361439
16260,Slovakia,SVK,Men,1996,179.5012393,177.89936569999998,181.04588590000003
16361,Slovenia,SVN,Men,1996,179.8026954,178.5146584,181.0771193
16462,Solomon Islands,SLB,Men,1996,164.1434391,162.0821659,166.1330404
16563,Somalia,SOM,Men,1996,166.6032003,160.741596,172.4303676
16664,South Africa,ZAF,Men,1996,166.6780993,165.7024243,167.65399240000005
16765,South Korea,KOR,Men,1996,174.9196246,174.041518,175.7700456
16866,Spain,ESP,Men,1996,176.59386709999995,175.0370731,178.1404858
16967,Sri Lanka,LKA,Men,1996,165.6894656,163.4286737,167.878379
17068,Sudan,SDN,Men,1996,166.6314888,160.81565569999995,172.3763656
17169,Suriname,SUR,Men,1996,172.7216773,167.0325868,178.498565
17270,Swaziland,SWZ,Men,1996,168.1315991,166.7090868,169.58031509999995
17371,Sweden,SWE,Men,1996,179.7370423,178.1998705,181.3144136
17472,Switzerland,CHE,Men,1996,178.42408999999995,177.52250519999996,179.3200565
17573,Syrian Arab Republic,SYR,Men,1996,170.42830869999997,164.8497607,176.208
17674,Taiwan,TWN,Men,1996,174.5214084,172.63545180000003,176.4252649
17775,Tajikistan,TJK,Men,1996,171.2644735,165.41091219999996,177.091505
17876,Tanzania,TZA,Men,1996,164.8003909,162.6476198,166.991555
17977,Thailand,THA,Men,1996,169.16243980000004,167.8143039,170.4771457
18078,Timor-Leste,TLS,Men,1996,159.7905503,157.50747180000005,161.9366409
18179,Togo,TGO,Men,1996,168.3303395,166.2719755,170.3914007
18280,Tokelau,TKL,Men,1996,175.25553430000005,172.8012449,177.721176
18381,Tonga,TON,Men,1996,176.75734599999996,174.8642004,178.63092949999995
18482,Trinidad and Tobago,TTO,Men,1996,173.7350948,169.7617072,177.7519913
18583,Tunisia,TUN,Men,1996,173.9514542,172.32299550000005,175.6109848
18684,Turkey,TUR,Men,1996,174.2095618,173.0353509,175.37408530000005
18785,Turkmenistan,TKM,Men,1996,171.96967560000004,169.9973504,173.964714
18886,Tuvalu,TUV,Men,1996,169.6401783,165.37975459999996,173.7361106
18987,Uganda,UGA,Men,1996,165.6249322,164.34132590000004,166.9052001
19088,Ukraine,UKR,Men,1996,178.457049,172.4490581,184.65933
19189,United Arab Emirates,ARE,Men,1996,170.4554301,164.76234580000005,176.17985269999997
19290,United Kingdom,GBR,Men,1996,177.4901885,176.7694543,178.1787075
19391,United States of America,USA,Men,1996,177.13039569999995,176.12443100000004,178.1577918
19492,Uruguay,URY,Men,1996,173.432458,170.2337833,176.6419927
19593,Uzbekistan,UZB,Men,1996,169.3845113,167.820721,170.92899419999995
19694,Vanuatu,VUT,Men,1996,168.0931899,165.9618624,170.26381519999995
19795,Venezuela,VEN,Men,1996,171.59427209999996,169.01378590000004,174.209128
19896,Viet Nam,VNM,Men,1996,164.4455519,163.196535,165.70290880000005
19997,Yemen,YEM,Men,1996,159.88694109999997,157.5219648,162.24186799999995
20098,Zambia,ZMB,Men,1996,166.5171435,162.82602680000005,169.94575759999995
20199,Zimbabwe,ZWE,Men,1996,168.5860045,166.9552625,170.2226425
20300,Afghanistan,AFG,Women,1996,155.0753231,153.4853608,156.6849233
20401,Albania,ALB,Women,1996,161.7698561,159.94671499999995,163.51878530000005
20502,Algeria,DZA,Women,1996,159.08962219999995,156.41458269999995,161.7684069
20603,American Samoa,ASM,Women,1996,164.5213673,161.6942193,167.3903458
20704,Andorra,AND,Women,1996,162.9048767,157.2895356,168.45233249999995
20805,Angola,AGO,Women,1996,157.3052103,151.6869145,162.8311906
20906,Antigua and Barbuda,ATG,Women,1996,160.6526419,155.13866769999996,165.8515608
21007,Argentina,ARG,Women,1996,159.1792058,157.3765361,160.9570023
21108,Armenia,ARM,Women,1996,158.0892096,156.49898230000005,159.71458069999997
